region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_y,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale,f_w,f_l,f_n,f_k,f_o,f_v,f_g
1,cym_full_001_my,cym,full,my,my,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#e17c4b,0.8823529411764706,0.48627450980392156,0.29411764705882354,62.45289702748056,35.06929839281481,43.41945673452145,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full,1833,9552,4084,1870,1833,1870,1.0,0.65,0.65,8,98.0,3.254322448333871,37,0.019786096256684493,#dd7268,0.8666667,0.44705883,0.40784314,60.27597312851769,40.768546377954515,24.73710362766457,60.31895636182371,40.730688208905285,24.905507810050025,11.902193552946695,19.65326290637968,0.5549340943219886,1.0697844746389238,0.39295840657921155,31.248091884236146,47.68646212141601,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmyfullDSC_4513.tif,cmyfullDSC_4513.tif,DSC_4513,cmy,filename_prefix,4513,c,y,m,CMY,full__cym__cmyfullDSC_4513,0.5452893062708271,,,,,,,
2,cym_full_002_cmy,cym,full,cmy,cmy,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#a9957b,0.6640522875816993,0.5856209150326798,0.4836601307189543,62.93735885110826,3.297719034612956,16.4669704461315,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full,4149,16790,7085,4234,4149,4234,1.0,0.65,0.65,8,98.0,5.357905583952848,85,0.020075578649031648,#948571,0.5803922,0.52156866,0.44313726,56.35099291177103,1.9712421257168655,13.05184660765275,56.422467417903896,2.0012207687471117,13.117754816490205,6.298471874500834,7.5367650957716545,1.5160710041817538,3.4196478027735657,1.0621279317068035,81.41143381192944,13.199867248874035,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmyfullDSC_4513.tif,cmyfullDSC_4513.tif,DSC_4513,cmy,filename_prefix,4513,c,y,m,CMY,full__cym__cmyfullDSC_4513,0.5452893062708271,,,,,,,
3,cym_full_003_cmymy,cym,full,cmymy,cmymy,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#c08b68,0.7513725490196078,0.5458823529411765,0.407843137254902,62.2359264949453,15.607946703126874,26.656057718997307,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full,2932,13872,5873,2992,2932,2992,1.0,0.65,0.65,8,98.0,4.699968290298266,60,0.020053475935828877,#a98367,0.6627451,0.5137255,0.40392157,57.66360449944227,10.99368465943501,20.325392569129953,57.61895219074304,11.162045910252822,20.2673218334271,5.447922291038306,9.070549260004121,2.3880756808978787,3.494579768974252,0.8458639884592163,61.59174272537837,23.10806537727336,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmyfullDSC_4513.tif,cmyfullDSC_4513.tif,DSC_4513,cmy,filename_prefix,4513,c,y,m,CMY,full__cym__cmyfullDSC_4513,0.5452893062708271,,,,,,,
4,cym_full_004_mymyy,cym,full,mymyy,mymyy,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#e7903c,0.9058823529411765,0.5639215686274509,0.23529411764705882,67.43094787588788,26.34285180880125,56.23381246555199,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full,1089,7223,3069,1108,1089,1108,1.0,0.65,0.65,8,98.0,4.541853912296784,19,0.017148014440433214,#e28161,0.8862745,0.5058824,0.38039216,63.91701279066389,34.24451187359922,33.655051848304396,63.79904000442225,34.42448932551832,32.982530672335805,13.637153196168098,24.178180299058123,2.0533907514358027,3.853804927702008,1.1608863464675567,44.50260765504345,48.01405115560585,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmyfullDSC_4513.tif,cmyfullDSC_4513.tif,DSC_4513,cmy,filename_prefix,4513,c,y,m,CMY,full__cym__cmyfullDSC_4513,0.5452893062708271,,,,,,,
5,cym_full_005_myy,cym,full,myy,myy,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#eb9d32,0.9215686274509803,0.615686274509804,0.19607843137254902,70.87834005274337,20.623964460334378,63.79337035503971,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full,1294,7602,3250,1320,1294,1320,1.0,0.65,0.65,8,98.0,1.7954904968891872,26,0.019696969696969695,#e48761,0.89411765,0.5294118,0.38039216,65.3634274125979,31.66282255772862,35.56031844407153,65.4497332020514,31.742609607555103,35.58756998721137,16.753343663035366,30.8119436214314,0.7593883766009004,1.3278626381374858,0.3806218753147671,48.31820777504754,47.613764608209486,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmyfullDSC_4513.tif,cmyfullDSC_4513.tif,DSC_4513,cmy,filename_prefix,4513,c,y,m,CMY,full__cym__cmyfullDSC_4513,0.5452893062708271,,,,,,,
6,cym_full_006_cymymy,cym,full,cymymy,cymymy,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#ca9957,0.7928104575163398,0.6006535947712418,0.3398692810457517,66.59787656431783,10.790448866138059,41.62015697365364,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full,3638,15062,6453,3713,3638,3713,1.0,0.65,0.65,8,98.0,8.26589423385886,75,0.020199299757608404,#b18b61,0.69411767,0.54509807,0.38039216,60.20654859957678,9.168155054570693,27.481149542699576,60.35050513507976,9.010335245019917,27.59992012925166,7.804052789524751,15.601039756904187,4.377025586083745,6.8661608864955115,2.0613674044460817,71.55046910888791,28.970133712029487,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmyfullDSC_4513.tif,cmyfullDSC_4513.tif,DSC_4513,cmy,filename_prefix,4513,c,y,m,CMY,full__cym__cmyfullDSC_4513,0.5452893062708271,,,,,,,
7,cym_full_007_myyy,cym,full,myyy,myyy,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#f0ae26,0.9411764705882353,0.6803921568627451,0.14705882352941177,75.29275943833024,13.646301897515034,71.93335971602419,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full,756,5773,2468,772,756,772,1.0,0.65,0.65,8,98.0,4.535743593342121,16,0.02072538860103627,#e89460,0.9098039,0.5803922,0.3764706,68.88465354335682,26.806132543512497,40.47084453859704,68.89971723265005,26.792020969245833,40.39222299355502,17.34259311856968,34.700645888547385,1.481899372524388,3.1634744633509175,0.9503334677872678,56.48123563925196,48.54336205504981,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmyfullDSC_4513.tif,cmyfullDSC_4513.tif,DSC_4513,cmy,filename_prefix,4513,c,y,m,CMY,full__cym__cmyfullDSC_4513,0.5452893062708271,,,,,,,
8,cym_full_008_myyyy,cym,full,myyyy,myyyy,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#f3b71e,0.9529411764705882,0.7192156862745098,0.11764705882352941,77.98402366630827,9.564777772315624,76.10333175007294,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full,246,3951,1670,252,246,252,1.0,0.65,0.65,8,98.0,5.492465328336831,6,0.023809523809523808,#ec9f5f,0.9254902,0.6254902,0.37254903,71.93558750510863,22.383034780974338,44.65146684807371,71.54895793003266,22.679457070182018,44.328604705296144,15.798200324986544,34.4979868767693,2.7208748184502,4.265105765168632,1.3128736091291753,63.37615675073289,49.947509824724314,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmyfullDSC_4513.tif,cmyfullDSC_4513.tif,DSC_4513,cmy,filename_prefix,4513,c,y,m,CMY,full__cym__cmyfullDSC_4513,0.5452893062708271,,,,,,,
9,cym_full_009_myyyyy,cym,full,myyyyy,myyyyy,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#f5be19,0.9607843137254902,0.7450980392156863,0.09803921568627451,79.79204921266052,6.88998560197307,78.60061215554556,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full,1674,9080,3844,1709,1674,1709,1.0,0.65,0.65,8,98.0,5.889211640251512,35,0.02047981275599766,#eda85b,0.92941177,0.65882355,0.35686275,74.01318612056602,18.206091301811444,48.734134583321804,73.56890153653576,18.675838597262025,48.45231930914257,13.585976929040314,32.456986758157804,2.5714553630445973,5.02821173256933,1.496486099243433,69.51532428829006,52.02381794981234,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmyfullDSC_4513.tif,cmyfullDSC_4513.tif,DSC_4513,cmy,filename_prefix,4513,c,y,m,CMY,full__cym__cmyfullDSC_4513,0.5452893062708271,,,,,,,
10,cym_full_010_y,cym,full,y,y,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#ffdf00,1.0,0.8745098039215686,0.0,88.94096720886532,-5.949434572648293,88.5567575521992,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full,513,4883,2075,523,513,93,0.17782026768642448,0.65,0.65,8,98.0,0.5826621241648887,10,0.019120458891013385,#ffe03e,1.0,0.8784314,0.24313726,89.26289976953757,-5.253796962995272,77.36982255220977,89.21766525728466,-5.329904926583239,77.33263607516946,2.372681037032743,11.213164894514543,0.2910650549864826,0.4699574456080503,0.13572413902262037,93.8847057059346,77.54799690700467,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmyfullDSC_4513.tif,cmyfullDSC_4513.tif,DSC_4513,cmy,filename_prefix,4513,c,y,m,CMY,full__cym__cmyfullDSC_4513,0.5452893062708271,,,,,,,
